time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,1.0340943918443744e-07,-8.495199714889248e-08,10.005617835826996,6.282892443699595,6.282966264978558,0.0,1.4611140785389075e-05,-1.686996486957452e-05,0.1872483299766099,-0.017072638442679984,-0.012191115318909648,0.0,463.7997636830649,462.84152749257737,464.8637581460252,463.52433738986565
0.12000000000000001,9.24443618831067e-06,-1.1895771901038199e-05,10.023375494971564,6.2824492236392455,6.28248866219284,0.0,0.0003609176338668069,-0.00045859398139678624,0.40462129968038185,0.007110857826581137,-0.0006145464977318719,0.0,471.53432509934873,472.42774564612154,472.5596453051261,474.41990492676655
0.18,4.623068487457613e-05,-5.358427833707933e-05,10.051703436565589,6.282974733166828,6.282126509466801,0.0,0.000889940301121531,-0.000879756179112684,0.539588800630549,0.011865426468495114,-0.020015600843690258,0.0,448.7812678322932,447.2040781753408,447.9150083680103,448.3013274920546
0.23999999999999996,0.00012795756591578493,-0.00010812045278874664,10.088869213151941,0.0005215627734207473,6.281279053387529,0.0,0.0019454380121842936,-0.0008580772315227824,0.699185741349837,0.012867606850634062,-0.00437941748021651,0.0,455.08209215412774,456.3318689198349,455.7407934122966,455.82075169117417
0.3,0.00028973127725980295,-0.0001442813104654779,10.136273743249923,0.0012513442778461226,6.2805645146477325,0.0,0.0034938686106546148,-0.00026164695658326245,0.8808424692817686,0.010715276477101006,-0.03455595381883056,0.0,464.25507207795675,461.8816475000517,462.2316638543006,462.0619115937075
0.36000000000000004,0.0005610747836804748,-0.00013185722439583282,10.192042387801223,0.0015992076470752181,6.2786159867188225,0.0,0.005754665685418285,0.0007285135181149794,0.9780330818670381,-0.006510704665358686,-0.028609907962934375,0.0,436.25603333580534,436.7517484385221,437.83434566585004,436.39895029542015
0.4200000000000001,0.0010234318844864526,-5.157963287412382e-05,10.257074360079084,0.0009228036286152985,6.276411911257007,0.0,0.0098771507107881,0.0018866021117562404,1.1895022698934343,-0.023089008249195186,-0.06261335222949418,0.0,472.52720822825006,469.898114051985,473.25969036686683,471.982203283629
0.48000000000000015,0.0017840770338269846,7.701754302276475e-05,10.333331648631933,6.283040611990721,6.272969049815977,0.0,0.015875117326914396,0.0022652395097351166,1.3522257959910164,-0.008880038655867973,-0.04856496437063113,0.0,457.8541162065454,458.96809438116753,456.5875982526399,457.7197233370663
0.5400000000000001,0.0029155400357094054,0.00020883030141945105,10.41346033311942,6.28241312058908,6.270267689871115,0.0,0.022070997830200733,0.002080960006492105,1.3187671268135617,-0.013817628499472644,-0.03874392786822361,0.0,394.2669684748189,395.1717420914731,393.8917979097978,393.43505611825196
0.6000000000000002,0.00451121722661396,0.00031498700050862697,10.495263432560341,6.281129682960827,6.26798009928927,0.0,0.031348294257243975,0.0013594162885573785,1.4078936427469073,-0.04425381092697629,-0.036919707716861316,0.0,435.52758903849804,435.6793862132256,436.0627766047042,433.5129046541181
0.6600000000000003,0.006726478159006088,0.0003436118711917137,10.583488684152304,6.279493658435449,6.265400147152153,0.0,0.042740157515006524,-0.0006185007730470309,1.5327839931703642,-0.00569089892323422,-0.05934410498854652,0.0,447.0088960673698,445.1767936403029,445.75890381985306,448.89839637235315
0.7200000000000003,0.009708299939237436,0.00022154601071596556,10.680429750712666,6.279180963159451,6.261900095437966,0.0,0.05704383093605363,-0.0034859737691643666,1.6983456293316277,-0.004269750818666112,-0.05638803461728814,0.0,459.35168121762405,459.5837708608171,459.5795655238301,459.6922764603176
0.7800000000000004,0.013633991078545814,-8.063382532474107e-05,10.787627731021086,6.278910822113108,6.258496277815484,0.0,0.0741908990925705,-0.006615349531044584,1.8746387303349312,-0.004971682555855646,-0.05742346290259047,0.0,462.18332241977635,462.099647084283,464.47881314689585,464.4238490449785
0.8400000000000004,0.0186460798529956,-0.0005734317390707786,10.904578697031397,6.278530113743223,6.254711776271648,0.0,0.09326322603217975,-0.009847018846906207,2.0234640462098072,-0.009244285145533996,-0.07784797658978794,0.0,456.8979148500248,455.2637940818009,455.2444460369287,454.9025680433034
0.9000000000000005,0.02498230985796775,-0.001284389232526993,11.033560433119384,6.277674875137734,6.250009447423256,0.0,0.11851387018605092,-0.013933761026262726,2.275441199578087,-0.026858419417249965,-0.07944100048267165,0.0,487.27503396239916,487.1516268198213,486.6816933402148,485.3617165606453
0.9600000000000005,0.032846700286395,-0.0022490981346998964,11.174572114696176,6.27597574816107,6.2458346039337815,0.0,0.14410483042517613,-0.018401981539840535,2.424623832781265,-0.031411807185699595,-0.054891388971315735,0.0,456.2025760644257,458.15475334320723,457.5718196551258,457.20900421215134
1.0200000000000005,0.042148148102929335,-0.0034836168075124546,11.319645801470045,6.27412189282693,6.242585664177199,0.0,0.16622281254448953,-0.02290802419128579,2.4111799981981474,-0.029888676597302273,-0.05270463600392605,0.0,405.9109837456724,406.1049208667652,404.8233378906782,404.95994021527883
1.0800000000000005,0.052884570186355014,-0.005032233067304471,11.465183274381067,6.272114381364737,6.2395941557988035,0.0,0.19193572577486304,-0.02888453610874113,2.439991722416171,-0.04177363668016385,-0.04470176814490113,0.0,419.2738349724456,419.9667989240825,420.2906237995078,419.25875265838454
1.1400000000000006,0.06539333703645116,-0.007024261800794769,11.616437207476432,6.270143342033027,6.237160080950257,0.0,0.22528964478753422,-0.037756113320775816,2.601433409040302,-0.019239437502221873,-0.03337194828497679,0.0,462.08249140257817,462.9739355330323,460.2315473831343,462.01112794606365
